DEGREE,POINTS,TEG,L3MISSRATIO,ENERGY,FLOPS_DP,FLOPS_AVX_DP
10,64,8.9785000682e-01,0.0317,0,246.9363,140.8417
10,128,1.9997000694e-01,0.0328,0.0017,790.1095,450.6441
10,200,1.9783401489e-01,0.0417,0,248.4553,141.7081
10,256,2.0978900790e-01,0.0357,0,217.7752,124.2095
10,512,6.8506500125e-01,0.0444,0,869.9541,496.1840
10,600,2.0792198181e-01,0.0426,0,911.4227,519.8358
10,800,6.8576499820e-01,0.0455,0,834.7605,476.1110
10,1024,2.0756497979e-01,0.0377,0,837.8455,477.8706
10,2000,2.1795400977e-01,0.0444,0.0092,800.5563,456.6025
10,3000,1.8138599396e-01,0.0392,0,964.1527,549.9107
10,4096,1.8155100942e-01,0.0400,0,836.6946,477.2142
10,6000,1.9370001554e-01,0.0400,0,912.3088,520.3412
10,7000,2.1088600159e-01,0.0323,0,730.0915,416.4124
10,10000,1.9243100286e-01,0.0392,0,947.0622,540.1631
10,50000,1.9164299965e-01,0.0370,0.0101,877.5114,500.4943
10,100000,1.9691899419e-01,0.1667,0,926.2944,528.3180
10,1000000,1.9966199994e-01,0.3061,0,827.1645,471.7786
10,10000000,1.9970098138e-01,0.3396,0,792.1775,451.8236
10,100000000,2.0939302444e-01,0,0,857.6068,458.2256
1000,64,1.0781936100e+02,0.1720,1.6252,6232.0631,6194.8242
1000,128,1.0892132401e+02,0.1787,1.6300,6102.9841,6066.5165
1000,200,1.0815991998e+02,0.1737,1.6290,6151.5194,6114.7618
1000,256,1.0927299699e+02,0.1783,1.6384,6195.2267,6158.2080
1000,512,1.0867802799e+02,0.1780,1.5958,6174.9339,6138.0364
1000,600,1.0912364101e+02,0.1821,1.6080,6201.5386,6164.4822
1000,800,1.0198455203e+02,0.1339,1.5936,6221.8626,6184.6847
1000,1024,1.0915297303e+02,0.1812,1.6191,6184.5357,6147.5808
1000,2000,1.0842121002e+02,0.1770,1.6151,6177.4781,6140.5655
1000,3000,1.0875327399e+02,0.1788,1.5377,6162.5271,6125.7038
1000,4096,1.0922309300e+02,0.1810,1.6410,6245.7701,6208.4494
1000,6000,1.0853054002e+02,0.1782,1.6016,6144.5595,6107.8435
1000,7000,1.0829545000e+02,0.1764,1.6036,6098.1748,6061.7360
1000,10000,1.0854055098e+02,0.1743,1.5691,6311.8356,6274.1201
1000,50000,1.0382952800e+02,0.1385,1.5952,6440.9126,6402.4258
1000,100000,1.0446892199e+02,0.1410,1.5444,6461.4117,6422.8024
